"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Categories split flaky,test and product","2","categoriesPutGenericFlakyRules()","","2026-07-10","failed","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","categoriesPutGenericFlakyRules"
"Should appear under Product defects","9","productDefect()","","2026-07-10","failed","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","productDefect"
"","72","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","countsOnlyPersistedTestOrders"
"Should appear under Test defects (broken)","6","brokenDefect()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-10","skipped","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","skippedTest"
"","97","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","resetMakesTestOrderIndependent"
"","58","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"Should appear under Test defects (broken)","5","brokenDefect1()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","brokenDefect1"
"Should appear under Flaky tests","7","flakyTimeoutTest()","","2026-07-10","broken","2026-07-10","","com.gradleproject.tests.AllureReporting","com.gradleproject.tests.AllureReporting","flakyTimeoutTest"
"","118","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.gradleproject.data.OrderTestIT","com.gradleproject.data.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
